|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
83|350740 Borborema|2020|350740|Borborema|2882|3261|7084|2937|8236|7928|16164|34599.69|287.2||7187.92|94.58||1.0|2.0|3.0|9.0|9.0||33.0|35.0|36.0|||||
84|350745 Borebi|2020|350745|Borebi|607|586|1097|393|1304|1379|2683|1726.47|51.67||3397.92|20.25||2.0|0.0|2.0|3.0|0.0||1.0|2.0|3.0|||||
85|350750 Botucatu|2020|350750|Botucatu|28678|31035|62945|25472|72089|76041|148130|2447889.37|4364.47||184249.0|4604.0||91.5|94.5|186.0|46.0|123.0||608.0|649.0|658.0|||||
86|350760 Bragança Paulista|2020|350760|Bragança Paulista|31094|36204|74292|28943|83955|86578|170533|1593172.15|503.67||86457.67|458.17||36.5|43.0|79.5|53.0|216.5||387.5|405.5|412.5|||||
87|350770 Braúna|2020|350770|Braúna|1184|1161|2323|1073|2941|2800|5741|387.61|0.0||2736.25|0.0||1.0|0.0|1.0|2.5|0.0||1.0|1.0|2.5|||||
88|350775 Brejo Alegre|2020|350775|Brejo Alegre|511|656|1245|477|1493|1396|2889|748.82|0.0||1368.5|0.0||1.5|0.0|1.5|4.0|0.0||2.0|2.0|4.0|||||
89|350780 Brodowski|2020|350780|Brodowski|4862|5846|10546|4023|12456|12821|25277|57202.7|6141.26||17801.17|399.75||7.5|5.5|13.0|11.0|10.5||52.5|53.5|54.5|||||
90|350790 Brotas|2020|350790|Brotas|5084|5457|10218|3877|12179|12457|24636|46816.66|0.0||13689.67|0.0||4.0|7.5|11.5|10.5|13.0||67.0|69.0|72.0|||||
91|350800 Buri|2020|350800|Buri|5038|4609|7565|2753|10078|9887|19965|48395.09|162.38||14728.08|93.5||2.0|0.0|2.0|17.0|3.0||15.0|17.0|21.0|||||
92|350810 Buritama|2020|350810|Buritama|3254|3320|7567|3140|8808|8473|17281|286421.5|199.25||29179.5|649.25||3.0|3.0|6.0|10.0|15.0||14.0|20.0|24.5|||||
93|350820 Buritizal|2020|350820|Buritizal|833|906|1919|856|2339|2175|4514|1164.09|25.42||3071.5|7.5||1.0|0.0|1.0|3.0|1.0||5.0|5.0|6.0|||||
94|350830 Cabrália Paulista|2020|350830|Cabrália Paulista|849|942|1755|697|2190|2053|4243|3374.95|0.0||7660.67|0.0||1.0|0.0|1.0|4.0|0.0||2.0|3.0|4.0|||||
95|350840 Cabreúva|2020|350840|Cabreúva|11863|12476|20656|5434|25417|25012|50429|109865.38|112.49||40111.75|39.75||10.0|10.5|20.5|17.5|14.5||30.0|37.0|39.0|||||
96|350850 Caçapava|2020|350850|Caçapava|18953|19841|40677|15547|47214|47804|95018|157317.55|371.58||55452.33|611.42||11.0|52.0|63.0|36.5|113.5||289.5|305.0|311.0|||||
97|350860 Cachoeira Paulista|2020|350860|Cachoeira Paulista|6675|6881|14299|5726|16486|17095|33581|28721.35|88.52||6319.75|152.58||18.0|13.0|31.0|18.0|18.0||53.0|57.0|60.0|||||
98|350870 Caconde|2020|350870|Caconde|3650|3998|7710|3651|9477|9532|19009|14706.4|0.0||8027.0|0.0||5.5|2.0|7.5|10.0|15.0||28.5|34.5|37.5|||||
99|350880 Cafelândia|2020|350880|Cafelândia|3343|3571|7548|3381|8827|9016|17843|64535.16|15.57||11914.42|219.0||7.5|8.5|16.0|7.0|15.0||42.0|42.0|44.0|||||
100|350890 Caiabu|2020|350890|Caiabu|723|841|1808|821|2161|2032|4193|505.17|0.0||104.17|0.0||1.0|0.0|1.0|5.0|0.0||2.0|3.0|5.0|||||
