|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
285|189267.88|3249.64|28.5|352500|352500 Jandira|240.19|7.0|19222.0|45.0|16.5|16.5|0.18|28648|61550|3.3|31019|33.5|Jandira|13237|4014711.34|50.0|126356|523.25|2020|64806|53452|94770.25|9.5
288|4006639.03|2206.01|39.5|352530|352530 Jaú|67914.08|42.5|36485.0|173.5|74.5|134.0|0.21|29307|74388|2.2|31886|382.5|Jaú|24969|4733100.115|475.0|151881|4306.75|2020|77493|65719|99859.08|32.0
295|3015363.94|3315.14|83.0|352590|352590 Jundiaí|50247.07|230.5|167534.0|638.0|322.5|555.0|1.97|76372|206113|3.3|84806|1433.0|Jundiaí|74289|43632890.536000006|1654.0|423006|8357.58|2020|216893|187539|215836.75|92.0
303|558275.21|2361.75|35.5|352670|352670 Leme|15692.84|18.5|22355.0|131.5|44.5|96.0|0.15|21749|52367|2.4|23647|190.5|Leme|14941|3207602.0939999996|205.0|104346|1476.17|2020|51979|44009|106780.17|26.0
304|231150.8|2722.4|20.0|352680|352680 Lençóis Paulista|15247.65|22.5|19010.0|81.0|35.5|61.0|0.12|13619|34292|2.7|15149|208.5|Lençóis Paulista|10218|2639062.006|219.5|68990|905.33|2020|34698|30004|68037.58|13.0
305|1441256.94|2858.14|60.0|352690|352690 Limeira|32987.1|88.5|81077.0|288.0|144.5|228.0|0.6|57143|151454|2.9|64871|769.0|Limeira|51017|13192024.795999998|802.5|308482|2618.58|2020|157028|135451|110914.0|56.0
307|73117.57|2288.31|32.5|352710|352710 Lins|631.02|54.5|23915.0|220.5|76.5|188.0|0.17|14032|38527|2.3|15945|503.0|Lins|14117|3785365.526|513.5|78503|1838.0|2020|39976|34409|13424.92|22.0
308|342258.02|2532.75|31.0|352720|352720 Lorena|512.79|31.0|16621.0|101.0|46.5|70.0|0.13|17721|43108|2.5|18770|233.0|Lorena|15113|2826717.961|256.0|89125|410.67|2020|46017|37521|33604.0|15.5
322|179037.35|2172.35|27.5|352850|352850 Mairiporã|1247.29|16.0|15437.0|50.0|34.5|22.5|0.08|19374|52128|2.2|23762|41.5|Mairiporã|13446|1748553.221|49.0|101937|1038.67|2020|49809|45355|47162.25|18.5
328|2110797.92|2563.21|93.5|352900|352900 Marília|16341.6|123.5|67370.0|326.5|230.5|233.0|0.37|41874|116011|2.6|48913|918.0|Marília|44917|8082305.727000001|955.0|240590|2368.33|2020|124579|104886|93784.08|107.0
331|439472.71|2437.79|29.5|352930|352930 Matão|1634.79|20.0|31816.0|150.5|45.5|121.0|0.19|14287|41431|2.4|17184|188.0|Matão|14603|4153988.5560000003|223.0|83626|512.0|2020|42195|37552|23066.25|25.5
332|416086.23|3122.45|64.5|352940|352940 Mauá|546.17|47.0|65111.0|244.0|91.5|179.5|0.69|97862|234386|3.1|112528|272.5|Mauá|60448|15287482.918|291.0|477552|1111.67|2020|243166|206714|191168.0|44.5
342|130179.25|2361.68|18.0|353030|353030 Mirassol|9894.63|20.5|14034.0|87.0|42.5|69.0|0.08|10562|29669|2.4|12053|122.0|Mirassol|10639|1810222.969|141.0|60303|1184.17|2020|30634|27049|28935.0|22.0
344|158858.97|2241.45|34.0|353050|353050 Mococa|7231.17|39.5|15297.0|173.0|57.5|139.0|0.1|12314|34294|2.2|13794|141.0|Mococa|13106|2120615.228|237.0|68980|2744.5|2020|34686|29766|41242.67|18.0
345|2163210.64|2570.91|76.0|353060|353060 Mogi das Cruzes|1525.11|126.0|99288.0|252.5|188.5|176.5|0.7|94773|219280|2.6|102046|182.0|Mogi das Cruzes|64442|15386499.313|259.5|450785|1125.83|2020|231505|189524|203240.5|62.5
346|645536.04|2712.36|38.5|353070|353070 Mogi Guaçu|46908.0|23.0|37915.0|167.0|36.5|128.5|0.27|28034|75784|2.7|32374|338.0|Mogi Guaçu|25296|5873500.065|372.5|153033|3031.5|2020|77249|67329|52427.83|13.5
347|634370.74|2798.04|29.5|353080|353080 Mogi Mirim|20645.34|10.0|27154.0|125.0|49.0|95.5|0.21|16590|45926|2.8|18911|232.5|Mogi Mirim|16954|4601570.641|247.0|93650|3909.25|2020|47724|41195|67250.0|39.0
352|167492.46|2537.96|22.5|353130|353130 Monte Alto|3692.29|40.0|12528.0|104.0|48.0|81.5|0.08|8354|24889|2.5|10009|210.0|Monte Alto|9974|1802819.84|217.0|50772|1032.0|2020|25883|22435|43182.58|8.0
389|1932802.33|3139.57|91.0|353440|353440 Osasco|3705.1|227.5|161102.0|686.5|289.0|595.5|3.47|141505|335359|3.1|156163|710.5|Osasco|99893|76609046.345|1029.0|699944|2152.0|2020|364585|302383|396522.83|61.5
392|966038.7|2287.63|38.5|353470|353470 Ourinhos|72470.5|59.0|25472.0|207.5|93.5|169.0|0.14|22073|55480|2.3|23350|428.5|Ourinhos|20263|3069407.0689999997|438.5|114352|5046.42|2020|58872|48666|54922.92|34.5
412|179421.8|4532.95|27.5|353650|353650 Paulínia|100.19|43.0|44576.0|99.0|70.0|71.5|1.48|24043|55447|4.5|25373|147.5|Paulínia|13159|32690878.463000003|183.5|112003|390.83|2020|56556|49428|38774.75|27.0
422|124665.3|2107.11|20.5|353730|353730 Penápolis|34417.9|19.0|14022.0|93.5|32.0|73.0|0.08|11398|31417|2.1|12311|174.0|Penápolis|12631|1664176.583|184.0|63757|2913.33|2020|32340|27417|57930.67|13.0
429|679136.09|3300.71|49.0|353800|353800 Pindamonhangaba|9130.76|49.0|31481.0|151.5|64.5|102.5|0.39|34589|83357|3.3|37524|397.0|Pindamonhangaba|25753|8616941.936|425.5|170132|654.58|2020|86775|72266|67002.67|15.5
435|2495491.59|3174.15|122.0|353870|353870 Piracicaba|13289.56|147.5|119106.0|555.0|189.5|433.0|1.2|75325|199235|3.2|86630|1072.5|Piracicaba|68785|26421071.96|1083.0|407252|2172.58|2020|208017|176512|275747.0|42.0
441|126921.55|2942.42|30.5|353930|353930 Pirassununga|15795.16|24.5|21182.0|105.5|50.0|75.0|0.13|14023|37714|2.9|15497|255.5|Pirassununga|14290|2791616.994|269.5|76877|1532.08|2020|39163|33067|50562.08|25.5
446|137593.84|2173.83|29.0|353980|353980 Poá|939.5|16.0|25601.0|49.0|27.5|20.0|0.21|25372|56947|2.2|27500|46.0|Poá|15131|4660371.284|61.0|118349|265.0|2020|61402|50346|52832.67|11.5
461|1333332.65|2429.05|63.5|354100|354100 Praia Grande|9965.6|50.5|51263.0|191.0|84.0|127.5|0.32|69827|158237|2.4|71575|224.5|Praia Grande|53595|7041818.488|261.5|330845|1650.58|2020|172608|135848|155188.83|33.5
466|2871610.66|2522.0|73.5|354140|354140 Presidente Prudente|110509.63|158.0|63958.0|415.0|222.0|341.5|0.36|41103|111052|2.5|45857|829.0|Presidente Prudente|42504|7994539.21|897.0|230371|10094.67|2020|119319|100907|140941.5|64.0
488|357484.97|2564.73|25.0|354330|354330 Ribeirão Pires|156088.03|33.0|20775.0|91.0|59.0|66.0|0.14|22649|60657|2.6|25670|101.5|Ribeirão Pires|20425|3042929.845|119.5|124159|10362.08|2020|63502|55415|45443.42|26.0
489|6409286.31|2756.55|100.5|354340|354340 Ribeirão Preto|12690.82|346.5|230067.0|1221.0|517.0|1120.5|1.55|128881|343995|2.8|152725|1932.0|Ribeirão Preto|118275|34327543.843|2427.5|711825|3114.08|2020|367830|311944|442061.08|170.5
493|832195.96|2852.36|50.5|354390|354390 Rio Claro|20978.7|71.5|63025.0|281.5|113.5|231.0|0.44|37814|101599|2.9|43420|530.0|Rio Claro|35579|9799855.547|598.0|208008|2278.75|2020|106409|91195|97040.42|42.0
509|178041.58|2740.06|29.5|354520|354520 Salto|4130.54|31.0|30991.0|101.5|45.0|72.0|0.33|22689|58950|2.7|26108|165.5|Salto|18226|7310873.846|187.5|119736|388.25|2020|60786|52713|39418.0|14.0
515|749898.55|2565.08|35.0|354580|354580 Santa Bárbara d'Oeste|103530.7|35.0|42726.0|121.5|52.0|86.5|0.27|33942|96180|2.6|40316|289.5|Santa Bárbara d'Oeste|32482|5929775.837|307.5|194390|6073.42|2020|98210|87650|126692.42|17.0
534|822716.17|2948.25|27.5|354730|354730 Santana de Parnaíba|2190.59|4.0|55042.0|44.5|45.0|17.0|0.42|30405|69951|3.0|32620|40.0|Santana de Parnaíba|18797|9235462.659|47.0|142301|3087.92|2020|72350|60479|132765.25|41.0
536|2935416.72|2694.35|94.0|354780|354780 Santo André|1771.85|154.0|210195.0|570.0|249.0|476.0|1.31|126996|346309|2.7|143362|411.5|Santo André|132329|28994685.621999998|682.0|721368|5004.33|2020|375059|318681|385279.5|95.0
544|3036683.44|3212.24|118.0|354850|354850 Santos|37950.4|293.5|173713.0|678.5|402.0|560.5|1.02|67940|198459|3.2|75654|1393.0|Santos|105329|22476976.43|1601.5|433656|3778.42|2020|235197|184733|279735.33|108.5
546|2793893.12|3673.0|104.0|354870|354870 São Bernardo do Campo|9966.73|252.0|251145.0|664.5|364.0|560.5|2.29|160788|407789|3.7|182478|549.0|São Bernardo do Campo|129080|50568693.335|833.0|844483|10288.92|2020|436694|372137|527296.83|112.0
547|1159797.6|3184.27|51.0|354880|354880 São Caetano do Sul|50666.54|43.0|106879.0|326.5|96.5|275.5|0.61|23593|74406|3.2|27502|347.5|São Caetano do Sul|39211|13440728.406|469.0|161957|3881.92|2020|87551|71651|89002.33|53.5
548|1218419.0|3277.29|65.5|354890|354890 São Carlos|39489.3|56.0|74730.0|442.5|106.0|377.0|0.51|45916|124780|3.3|52416|742.0|São Carlos|44158|11173000.339000002|799.0|254484|2638.08|2020|129704|111994|72388.33|50.0
550|1253650.75|2446.85|43.0|354910|354910 São João da Boa Vista|597.95|72.0|22200.0|189.0|101.0|146.0|0.14|15317|44303|2.5|17666|544.5|São João da Boa Vista|18114|3129019.3680000002|572.5|91771|3351.92|2020|47468|40674|95374.67|29.0
557|334347.61|2252.43|23.5|354970|354970 São José do Rio Pardo|84.43|14.0|12918.0|81.5|27.5|58.0|0.08|9138|27116|2.3|10788|85.5|São José do Rio Pardo|11438|1819622.721|107.5|55124|685.08|2020|28008|23760|69468.0|13.5
558|5816847.81|2628.01|91.0|354980|354980 São José do Rio Preto|104989.83|153.0|139100.0|836.0|341.0|745.0|0.79|78674|223847|2.6|90804|993.5|São José do Rio Preto|86477|17542485.09|1147.0|464983|12184.92|2020|241136|209028|430008.0|188.0
559|4915882.65|3466.48|92.0|354990|354990 São José dos Campos|6387.56|210.0|185624.0|654.5|284.5|562.5|1.8|144209|357423|3.5|159218|845.5|São José dos Campos|111052|39697500.504|990.0|729737|4896.83|2020|372314|315258|460012.25|74.5
564|58994398.41|4111.88|1194.5|355030|355030 São Paulo|234753.31|1345.5|4996419.0|7862.0|3972.0|6667.5|32.33|2352523|5850836|4.1|2686463|9593.5|São Paulo|1983144|714683362.463|11375.5|12325232|100190.83|2020|6474396|5303102|7384562.92|2626.5
