|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
83|34599.69|1881.49|9.0|350740|350740 Borborema|287.2|2.0|2501.0|18.0|3.0|9.0|0.02|2882|8236|1.9|3261|33.0|Borborema|2937|372245.412|35.0|16164|94.58|2020|7928|7084|7187.92|1.0
84|1726.47|1944.94|3.0|350745|350745 Borebi|51.67|0.0|738.0|3.0|2.0|0.0|0.0|607|1304|1.9|586|1.0|Borebi|393|65278.153|2.0|2683|20.25|2020|1379|1097|3397.92|2.0
85|2447889.37|2932.7|46.0|350750|350750 Botucatu|4364.47|94.5|41370.0|169.0|186.0|123.0|0.21|28678|72089|2.9|31035|608.0|Botucatu|25472|4623409.471|649.0|148130|4604.0|2020|76041|62945|184249.0|91.5
86|1593172.15|2486.45|53.0|350760|350760 Bragança Paulista|503.67|43.0|43836.0|269.5|79.5|216.5|0.29|31094|83955|2.5|36204|387.5|Bragança Paulista|28943|6305506.737000001|405.5|170533|458.17|2020|86578|74292|86457.67|36.5
87|387.61|2253.11|2.5|350770|350770 Braúna|0.0|0.0|434.0|2.5|1.0|0.0|0.0|1184|2941|2.3|1161|1.0|Braúna|1073|98162.789|1.0|5741|0.0|2020|2800|2323|2736.25|1.0
88|748.82|2211.28|4.0|350775|350775 Brejo Alegre|0.0|0.0|500.0|4.0|1.5|0.0|0.0|511|1493|2.2|656|2.0|Brejo Alegre|477|83159.08099999999|2.0|2889|0.0|2020|1396|1245|1368.5|1.5
89|57202.7|1984.78|11.0|350780|350780 Brodowski|6141.26|5.5|5016.0|21.5|13.0|10.5|0.03|4862|12456|2.0|5846|52.5|Brodowski|4023|668979.715|53.5|25277|399.75|2020|12821|10546|17801.17|7.5
90|46816.66|2662.71|10.5|350790|350790 Brotas|0.0|7.5|5786.0|23.5|11.5|13.0|0.03|5084|12179|2.7|5457|67.0|Brotas|3877|657853.884|69.0|24636|0.0|2020|12457|10218|13689.67|4.0
91|48395.09|1679.65|17.0|350800|350800 Buri|162.38|0.0|3759.0|20.0|2.0|3.0|0.02|5038|10078|1.7|4609|15.0|Buri|2753|413706.034|17.0|19965|93.5|2020|9887|7565|14728.08|2.0
92|286421.5|2287.92|10.0|350810|350810 Buritama|199.25|3.0|3610.0|25.0|6.0|15.0|0.03|3254|8808|2.3|3320|14.0|Buritama|3140|635662.4079999999|20.0|17281|649.25|2020|8473|7567|29179.5|3.0
93|1164.09|3294.85|3.0|350820|350820 Buritizal|25.42|0.0|1767.0|4.0|1.0|1.0|0.01|833|2339|3.3|906|5.0|Buritizal|856|177965.495|5.0|4514|7.5|2020|2175|1919|3071.5|1.0
94|3374.95|1933.63|4.0|350830|350830 Cabrália Paulista|0.0|0.0|653.0|4.0|1.0|0.0|0.0|849|2190|1.9|942|2.0|Cabrália Paulista|697|82550.447|3.0|4243|0.0|2020|2053|1755|7660.67|1.0
95|109865.38|3068.35|17.5|350840|350840 Cabreúva|112.49|10.5|14058.0|32.0|20.5|14.5|0.21|11863|25417|3.1|12476|30.0|Cabreúva|5434|4677142.2|37.0|50429|39.75|2020|25012|20656|40111.75|10.0
96|157317.55|3078.96|36.5|350850|350850 Caçapava|371.58|52.0|20881.0|150.0|63.0|113.5|0.2|18953|47214|3.1|19841|289.5|Caçapava|15547|4318444.515|305.0|95018|611.42|2020|47804|40677|55452.33|11.0
97|28721.35|2224.93|18.0|350860|350860 Cachoeira Paulista|88.52|13.0|4947.0|36.0|31.0|18.0|0.03|6675|16486|2.2|6881|53.0|Cachoeira Paulista|5726|608491.61|57.0|33581|152.58|2020|17095|14299|6319.75|18.0
98|14706.4|1972.18|10.0|350870|350870 Caconde|0.0|2.0|1591.0|25.0|7.5|15.0|0.02|3650|9477|2.0|3998|28.5|Caconde|3651|357342.12899999996|34.5|19009|0.0|2020|9532|7710|8027.0|5.5
99|64535.16|2054.73|7.0|350880|350880 Cafelândia|15.57|8.5|3589.0|22.0|16.0|15.0|0.02|3343|8827|2.1|3571|42.0|Cafelândia|3381|505032.848|42.0|17843|219.0|2020|9016|7548|11914.42|7.5
100|505.17|1930.35|5.0|350890|350890 Caiabu|0.0|0.0|334.0|5.0|1.0|0.0|0.0|723|2161|1.9|841|2.0|Caiabu|821|58214.357|3.0|4193|0.0|2020|2032|1808|104.17|1.0
101|119667.85|2785.78|26.0|350900|350900 Caieiras|1605.54|17.0|20865.0|73.0|36.0|47.0|0.16|22238|49920|2.8|23978|52.0|Caieiras|12260|3556312.285|72.0|102775|687.92|2020|52855|44299|27792.67|19.0
102|439.3|2113.29|7.0|350910|350910 Caiuá|0.0|0.0|408.0|7.0|6.0|0.0|0.0|996|3198|2.1|1113|6.0|Caiuá|1121|75610.509|6.0|5946|0.0|2020|2748|2716|5337.0|6.0
103|184463.66|3103.89|19.0|350920|350920 Cajamar|604.47|7.5|41598.0|61.5|23.0|42.5|0.77|18382|38783|3.1|19788|62.5|Cajamar|7522|16970110.949|70.5|77934|236.92|2020|39151|32242|56356.58|15.5
104|51099.46|2510.39|16.0|350925|350925 Cajati|199.58|3.0|6106.0|27.5|10.5|11.5|0.07|6807|14265|2.5|6412|30.0|Cajati|4126|1452475.489|34.5|28494|381.0|2020|14229|11149|17605.92|7.5
105|25081.78|1888.27|7.0|350930|350930 Cajobi|7.31|0.0|1309.0|11.5|3.5|4.5|0.01|1764|5464|1.9|2243|8.5|Cajobi|1983|155965.846|8.5|10596|2.58|2020|5132|4606|14323.83|3.5
